symbol,company_name,foreign_ownership,max_allowed,investor_limit
9583,المتحدة للتعدين,49.0%,0.32%,0.0%
9588,حديد الرياض,49.0%,0.55%,0.0%
9599,طاقات,49.0%,0.21%,0.0%
9601,الرشيد,49.0%,0.44%,0.0%
9605,نفط الشرق,49.0%,1.15%,0.0%
9607,عسق,49.0%,0.07%,0.0%
9609,بترول ناس,49.0%,0.86%,0.0%
9623,مصنع البتال,49.0%,0.15%,0.0%
9631,هضاب الخليج,49.0%,0.17%,0.0%
1212,أسترا الصناعية,49.0%,8.23%,0.0%
1214,شاكر,49.0%,3.73%,0.0%
1302,بوان,49.0%,6.82%,0.0%
1303,الصناعات الكهربائية,49.0%,8.9%,0.0%
2040,الخزف السعودي,49.0%,7.47%,0.0%
2110,الكابلات السعودية,49.0%,5.03%,0.0%
2160,أميانتيت,49.0%,3.45%,0.0%
2320,البابطين,49.0%,19.05%,0.0%
2370,مسك,49.0%,4.91%,0.0%
4110,باتك,49.0%,3.69%,0.0%
4140,صادرات,49.0%,2.84%,0.0%
4141,العمران,49.0%,2.78%,0.0%
4142,كابلات الرياض,49.0%,13.19%,0.0%
4143,تالكو,49.0%,1.18%,0.0%
4144,رؤوم,49.0%,0.59%,0.0%
9510,الوطنية للبناء والتسويق,49.0%,1.26%,0.0%
9525,الوسائل الصناعية,49.0%,3.35%,0.0%
9528,جاز,49.0%,3.91%,0.0%
9531,العبيكان للزجاج,49.0%,0.16%,0.0%
9533,المركز الآلي,49.0%,0.0%,0.0%
9542,كير,49.0%,0.35%,0.0%
9547,رواسي,49.0%,0.49%,0.0%
9560,وجا,49.0%,0.37%,0.0%
9568,ميار,49.0%,0.02%,0.0%
9569,آل منيف,49.0%,0.65%,0.0%
9578,مصاعد أطلس,49.0%,0.59%,0.0%
9611,المتحدة للزجاج المسطح,49.0%,0.24%,0.0%
9624,الشهيلي المعدنية,49.0%,0.08%,0.0%
9633,آلات الصيانة,49.0%,0.06%,0.0%
9639,أنماط,49.0%,0.24%,0.0%
1831,مهارة,49.0%,3.87%,0.0%
1832,صدر,49.0%,2.69%,0.0%
1833,الموارد,49.0%,3.93%,0.0%
1834,سماسكو,49.0%,3.07%,0.0%
1835,تمكين,49.0%,2.1%,0.0%
4270,طباعة وتغليف,49.0%,1.42%,0.0%
6004,كاتريون,49.0%,6.94%,0.0%
9540,تدوير,49.0%,1.16%,0.0%
9545,الدولية,49.0%,0.4%,0.0%
9570,تام التنموية,49.0%,3.72%,0.0%
9581,كلين لايف,49.0%,0.15%,0.0%
9593,عبر الخليج,49.0%,0.02%,0.0%
9597,الليف,49.0%,0.4%,0.0%
9606,ثروة,49.0%,0.44%,0.0%
9608,الأشغال الميسرة,49.0%,0.43%,0.0%
9613,شلفا,49.0%,0.02%,0.0%
9619,الأعمال المتعددة,49.0%,0.14%,0.0%
